vfid,RA,DEC,vr,radius,objname
VFID0291,187.45242,64.03332,2340.1,36.823177,NGC4481
VFID0292,170.15533,64.01891,1196.3,1.7342881,SDSSJ112037.27+640108.3
VFID0293,163.77641,63.99321,1701.8,31.341606,UGC06027
VFID0294,188.19861,63.93921,2515.5,77.11187,NGC4521
VFID0295,187.6193,63.92041,2706.5,22.548687,SDSSJ123028.68+635513.7
VFID0296,204.47293,63.91947,2641,11.537753,PGC3138807
VFID0297,182.74162,63.91458,2617,49.78761,UGC07179
VFID0298,150.47939,63.89265,1702.1,27.171978,PGC090973
VFID0299,181.80058,63.890717,1425.8,24.78114,PGC038459
VFID0300,193.67076,63.89033,562.7,7.782538,SDSSJ125440.94+635324.9
VFID0301,188.14114,63.877678,2965.5,45.094257,UGC07700
VFID0302,244.3151,63.85315,3109.2,35.73726,UGC10334
VFID0303,173.42159,63.823853,2075.3,7.2966123,PGC3138727
VFID0304,191.01291,63.803844,2770.3,34.923782,UGC07918
VFID0305,188.60197,63.80229,2525.4,9.059855,SDSSJ123424.47+634808.2
VFID0306,198.11676,63.799614,1725.2,14.863505,PGC2661153
VFID0307,183.73145,63.7828,1439.4,50.132717,NGC4205
VFID0308,183.60329,63.77053,2895.7,15.31515,PGC213955
VFID0309,241.01576,63.712933,869.6,46.786575,UGC10194
VFID0310,156.59038,63.709328,1727.8,7.8004785,SDSSJ102621.68+634233.3
VFID0311,100.884125,63.70589,2900,100,PGC3085813
VFID0312,202.09276,63.685463,1792.7,7.8184605,PGC3138619
VFID0313,165.85306,63.67315,1675.3,8.224723,SDSSJ110324.72+634023.4
VFID0314,193.97585,63.611958,2768.4,36.908062,UGC08059
VFID0315,264.1554,63.583866,1199.5,9.820221,PGC084875
VFID0316,188.64229,63.525055,2664.1,72.96612,NGC4545
VFID0317,207.00049,63.522526,1654.2,12.109362,SDSSJ134800.10+633120.8
VFID0318,190.23883,63.51965,2497.7,60.272785,UGC07848
VFID0319,190.59882,63.48681,2318,27.90577,SDSSJ124223.76+632912.8
VFID0320,174.98306,63.455517,3160.5,9.122655,PGC3138457
VFID0321,203.59492,63.4486,1798.4,10.967844,SDSSJ133422.76+632654.9
VFID0322,184.05348,63.443226,2801.8,18.035212,PGC2655758
VFID0323,178.88063,63.44044,3069.3,24.441128,PGC037445
VFID0324,155.10074,63.43946,1730.7,31.17649,SDSSJ102024.02+632620.9
VFID0325,194.53712,63.43313,1418.9,11.223318,SDSSJ125808.94+632559.6
VFID0326,179.96167,63.42629,1332.5,18.286106,PGC2655453
VFID0327,184.23254,63.40992,2759.1,52.01412,NGC4238
VFID0328,160.54422,63.408672,1714.5,22.341959,PGC2655141
VFID0329,185.50945,63.404915,1678.9,10.842296,PGC2655089
